id,grade,subject,publisher,type,question,option1,option2,option3,option4,answer,hint,semester,exam
e3-k-013,3,english,kangxuan,choice,Is this a ruler? (是),"Yes, it is.","No, it isn't.",It's a ruler.,It's long.,"Yes, it is.",確認物品,2,final
e3-k-014,3,english,kangxuan,choice,Is that a book? (不是，它是筆),"No, it's a pen.","Yes, it is.",It's a book.,I like books.,"No, it's a pen.",確認遠處物品,2,final
e3-k-015,3,english,kangxuan,choice,It is a ______ (馬克筆).,marker,pencil,ruler,pen,marker,文具單字,2,final
e3-k-016,3,english,kangxuan,choice,It is ______ eraser.,an,a,the,two,an,母音開頭用an,2,final
e3-k-017,3,english,kangxuan,choice,Is this your pen? (是),"Yes, it is.","No, it isn't.",It's my pen.,It's red.,"Yes, it is.",詢問所有權,2,final
e3-k-018,3,english,kangxuan,choice,Is this your ruler? (不是),"No, it isn't.","Yes, it is.",It's long.,I don't know.,"No, it isn't.",所有權否定,2,final
e3-k-019,3,english,kangxuan,choice,______ this your book?,Is,What,Where,How,Is,Yes/No問句用Be動詞,2,final
e3-k-020,3,english,kangxuan,choice,______ is it? It is a pencil.,What,Where,Who,How,What,詢問是什麼,2,final
e3-k-021,3,english,kangxuan,choice,Is ______ a marker?,this,he,she,they,this,指稱代名詞,2,final
e3-k-022,3,english,kangxuan,choice,Is that a pencil? (不是，是麥克筆),"No, it's a marker.","Yes, it is.",It's blue.,"No, it's a pen.","No, it's a marker.",物品辨識,2,final
e3-k-023,3,english,kangxuan,choice,What's ______? It's a ruler.,that,he,she,they,that,詢問那個是什麼,2,final
e3-k-024,3,english,kangxuan,choice,Is this ______ eraser? (你的),your,you,me,my,your,你的,2,final
e3-k-025,3,english,kangxuan,choice,Where is the cat? (在箱子裡),It's in the box.,It's on the box.,It's under the box.,It's a box.,It's in the box.,方位 in,2,final
e3-k-026,3,english,kangxuan,choice,Where is the dog? (在椅子上),It's on the chair.,It's in the chair.,It's under the chair.,It's a chair.,It's on the chair.,方位 on,2,final
e3-k-027,3,english,kangxuan,choice,Where is the book? (在桌子下),It's under the desk.,It's on the desk.,It's in the desk.,It's a desk.,It's under the desk.,方位 under,2,final
e3-k-028,3,english,kangxuan,choice,The apple is ______ the box. (在...裡面),in,on,under,at,in,介係詞 in,2,final
e3-k-029,3,english,kangxuan,choice,The ruler is ______ the chair. (在...上面),on,in,under,at,on,介係詞 on,2,final
e3-k-030,3,english,kangxuan,choice,The ball is ______ the desk. (在...下面),under,in,on,at,under,介係詞 under,2,final
e3-k-031,3,english,kangxuan,choice,______ is the robot? It's on the chair.,Where,What,Who,How,Where,詢問地點,2,final
e3-k-032,3,english,kangxuan,choice,Is the cat in the box? (是),"Yes, it is.","No, it isn't.",It's a cat.,It's in the box.,"Yes, it is.",確認地點,2,final
e3-k-033,3,english,kangxuan,choice,Is the dog under the desk? (不是),"No, it isn't.","Yes, it is.",It's a dog.,It's cute.,"No, it isn't.",確認地點否定,2,final
e3-k-034,3,english,kangxuan,choice,Where's the ______? (橡皮擦),eraser,pen,ruler,book,eraser,單字填空,2,final
e3-k-035,3,english,kangxuan,choice,It's on the ______. (椅子),chair,desk,box,room,chair,地點單字,2,final
e3-k-036,3,english,kangxuan,choice,Where ______ the marker?,is,are,am,be,is,單數Be動詞,2,final
e3-k-037,3,english,kangxuan,choice,Where is my book?,It's on the desk.,It's a book.,"Yes, it is.",I don't know.,It's on the desk.,尋找物品,2,final
e3-k-038,3,english,kangxuan,choice,The pen is in the ______. (盒子),box,bag,desk,chair,box,地點單字,2,final
m3-n-u5-001,3,math,nanyi,choice,長方形的邊長有什麼特色？,只有三條邊一樣長,對邊一樣長,四條邊一樣長,四條邊都不一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-002,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,直角,無法比較,一樣大,鈍角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-003,3,math,nanyi,choice,請問 鈍角 和 銳角 誰比較大？,無法比較,鈍角,一樣大,銳角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-004,3,math,nanyi,choice,長方形有幾個直角？,2個,0個,3個,4個,4個,每個角落都是直角,1,final
m3-n-u5-005,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,鈍角,無法比較,直角,一樣大,鈍角,想想看它們的角度度數,1,final
m3-n-u5-006,3,math,nanyi,choice,請問 48 度的角是什麼角？,平角,銳角,鈍角,直角,銳角,比 90 度小,1,final
m3-n-u5-007,3,math,nanyi,choice,請問 90 度的角是什麼角？,銳角,平角,直角,鈍角,直角,三角板上有一個這樣的角,1,final
m3-n-u5-008,3,math,nanyi,choice,請問 87 度的角是什麼角？,鈍角,銳角,直角,平角,銳角,比 90 度小,1,final
m3-n-u5-009,3,math,nanyi,choice,長方形有幾個直角？,4個,2個,0個,3個,4個,每個角落都是直角,1,final
m3-n-u5-010,3,math,nanyi,choice,長方形的邊長有什麼特色？,對邊一樣長,只有三條邊一樣長,四條邊都不一樣長,四條邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-011,3,math,nanyi,choice,請問 172 度的角是什麼角？,鈍角,銳角,平角,直角,鈍角,比 90 度大,1,final
m3-n-u5-012,3,math,nanyi,choice,請問 鈍角 和 銳角 誰比較大？,無法比較,一樣大,銳角,鈍角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-013,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,鈍角,一樣大,直角,無法比較,鈍角,想想看它們的角度度數,1,final
m3-n-u5-014,3,math,nanyi,choice,正方形的邊長有什麼特色？,四條邊都不一樣長,四條邊一樣長,對邊一樣長,只有兩條邊一樣長,四條邊一樣長,正方形很特別，每邊都相等,1,final
m3-n-u5-015,3,math,nanyi,choice,請問 15 度的角是什麼角？,鈍角,平角,銳角,直角,銳角,比 90 度小,1,final
m3-n-u5-016,3,math,nanyi,choice,正方形的邊長有什麼特色？,只有兩條邊一樣長,對邊一樣長,四條邊都不一樣長,四條邊一樣長,四條邊一樣長,正方形很特別，每邊都相等,1,final
m3-n-u5-017,3,math,nanyi,choice,正方形有幾個直角？,2個,3個,4個,0個,4個,每個角落都是直角,1,final
m3-n-u5-018,3,math,nanyi,choice,請問 72 度的角是什麼角？,平角,銳角,直角,鈍角,銳角,比 90 度小,1,final
m3-n-u5-019,3,math,nanyi,choice,正方形的邊長有什麼特色？,只有兩條邊一樣長,對邊一樣長,四條邊都不一樣長,四條邊一樣長,四條邊一樣長,正方形很特別，每邊都相等,1,final
m3-n-u5-020,3,math,nanyi,choice,請問 90 度的角是什麼角？,鈍角,銳角,平角,直角,直角,三角板上有一個這樣的角,1,final
m3-n-u5-021,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,無法比較,鈍角,直角,一樣大,鈍角,想想看它們的角度度數,1,final
m3-n-u5-022,3,math,nanyi,choice,請問 14 度的角是什麼角？,平角,銳角,直角,鈍角,銳角,比 90 度小,1,final
m3-n-u5-023,3,math,nanyi,choice,正方形有幾個直角？,0個,4個,2個,3個,4個,每個角落都是直角,1,final
m3-n-u5-024,3,math,nanyi,choice,請問 直角 和 銳角 誰比較大？,銳角,直角,無法比較,一樣大,直角,想想看它們的角度度數,1,final
m3-n-u5-025,3,math,nanyi,choice,請問 鈍角 和 銳角 誰比較大？,無法比較,銳角,鈍角,一樣大,鈍角,想想看它們的角度度數,1,final
m3-n-u5-026,3,math,nanyi,choice,長方形的邊長有什麼特色？,對邊一樣長,四條邊都不一樣長,四條邊一樣長,只有三條邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-027,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,鈍角,直角,無法比較,一樣大,鈍角,想想看它們的角度度數,1,final
m3-n-u5-028,3,math,nanyi,choice,請問 129 度的角是什麼角？,平角,直角,銳角,鈍角,鈍角,比 90 度大,1,final
m3-n-u5-029,3,math,nanyi,choice,請問 90 度的角是什麼角？,銳角,鈍角,直角,平角,直角,三角板上有一個這樣的角,1,final
m3-n-u5-030,3,math,nanyi,choice,請問 35 度的角是什麼角？,鈍角,銳角,平角,直角,銳角,比 90 度小,1,final
m3-n-u5-031,3,math,nanyi,choice,正方形的邊長有什麼特色？,只有兩條邊一樣長,四條邊一樣長,對邊一樣長,四條邊都不一樣長,四條邊一樣長,正方形很特別，每邊都相等,1,final
m3-n-u5-032,3,math,nanyi,choice,請問 直角 和 銳角 誰比較大？,直角,銳角,無法比較,一樣大,直角,想想看它們的角度度數,1,final
m3-n-u5-033,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,鈍角,無法比較,直角,一樣大,鈍角,想想看它們的角度度數,1,final
m3-n-u5-034,3,math,nanyi,choice,長方形有幾個直角？,0個,4個,3個,2個,4個,每個角落都是直角,1,final
m3-n-u5-035,3,math,nanyi,choice,請問 93 度的角是什麼角？,銳角,平角,鈍角,直角,鈍角,比 90 度大,1,final
m3-n-u5-036,3,math,nanyi,choice,請問 149 度的角是什麼角？,直角,平角,銳角,鈍角,鈍角,比 90 度大,1,final
m3-n-u5-037,3,math,nanyi,choice,請問 鈍角 和 銳角 誰比較大？,銳角,鈍角,一樣大,無法比較,鈍角,想想看它們的角度度數,1,final
m3-n-u5-038,3,math,nanyi,choice,長方形的邊長有什麼特色？,只有三條邊一樣長,四條邊都不一樣長,四條邊一樣長,對邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-039,3,math,nanyi,choice,請問 90 度的角是什麼角？,平角,鈍角,直角,銳角,直角,三角板上有一個這樣的角,1,final
m3-n-u5-040,3,math,nanyi,choice,請問 52 度的角是什麼角？,鈍角,直角,銳角,平角,銳角,比 90 度小,1,final
m3-n-u5-041,3,math,nanyi,choice,請問 90 度的角是什麼角？,平角,直角,鈍角,銳角,直角,三角板上有一個這樣的角,1,final
m3-n-u5-042,3,math,nanyi,choice,請問 90 度的角是什麼角？,直角,平角,銳角,鈍角,直角,三角板上有一個這樣的角,1,final
m3-n-u5-043,3,math,nanyi,choice,長方形有幾個直角？,0個,2個,4個,3個,4個,每個角落都是直角,1,final
m3-n-u5-044,3,math,nanyi,choice,請問 90 度的角是什麼角？,平角,銳角,直角,鈍角,直角,三角板上有一個這樣的角,1,final
m3-n-u5-045,3,math,nanyi,choice,請問 112 度的角是什麼角？,銳角,鈍角,平角,直角,鈍角,比 90 度大,1,final
m3-n-u5-046,3,math,nanyi,choice,長方形有幾個直角？,0個,4個,2個,3個,4個,每個角落都是直角,1,final
m3-n-u5-047,3,math,nanyi,choice,長方形的邊長有什麼特色？,只有三條邊一樣長,四條邊都不一樣長,四條邊一樣長,對邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-048,3,math,nanyi,choice,長方形的邊長有什麼特色？,四條邊都不一樣長,四條邊一樣長,對邊一樣長,只有三條邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-049,3,math,nanyi,choice,請問 直角 和 銳角 誰比較大？,無法比較,銳角,一樣大,直角,直角,想想看它們的角度度數,1,final
m3-n-u5-050,3,math,nanyi,choice,長方形有幾個直角？,3個,2個,4個,0個,4個,每個角落都是直角,1,final
m3-n-u5-051,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,鈍角,一樣大,無法比較,直角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-052,3,math,nanyi,choice,請問 60 度的角是什麼角？,銳角,平角,直角,鈍角,銳角,比 90 度小,1,final
m3-n-u5-053,3,math,nanyi,choice,請問 鈍角 和 銳角 誰比較大？,一樣大,無法比較,銳角,鈍角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-054,3,math,nanyi,choice,正方形有幾個直角？,4個,3個,2個,0個,4個,每個角落都是直角,1,final
m3-n-u5-055,3,math,nanyi,choice,正方形有幾個直角？,0個,2個,4個,3個,4個,每個角落都是直角,1,final
m3-n-u5-056,3,math,nanyi,choice,請問 80 度的角是什麼角？,銳角,直角,鈍角,平角,銳角,比 90 度小,1,final
m3-n-u5-057,3,math,nanyi,choice,請問 鈍角 和 銳角 誰比較大？,一樣大,鈍角,銳角,無法比較,鈍角,想想看它們的角度度數,1,final
m3-n-u5-058,3,math,nanyi,choice,正方形有幾個直角？,3個,2個,4個,0個,4個,每個角落都是直角,1,final
m3-n-u5-059,3,math,nanyi,choice,長方形的邊長有什麼特色？,對邊一樣長,只有三條邊一樣長,四條邊都不一樣長,四條邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-060,3,math,nanyi,choice,正方形的邊長有什麼特色？,對邊一樣長,四條邊都不一樣長,只有兩條邊一樣長,四條邊一樣長,四條邊一樣長,正方形很特別，每邊都相等,1,final
m3-n-u5-061,3,math,nanyi,choice,請問 81 度的角是什麼角？,直角,鈍角,平角,銳角,銳角,比 90 度小,1,final
m3-n-u5-062,3,math,nanyi,choice,請問 90 度的角是什麼角？,平角,鈍角,直角,銳角,直角,三角板上有一個這樣的角,1,final
m3-n-u5-063,3,math,nanyi,choice,請問 115 度的角是什麼角？,平角,鈍角,直角,銳角,鈍角,比 90 度大,1,final
m3-n-u5-064,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,一樣大,鈍角,直角,無法比較,鈍角,想想看它們的角度度數,1,final
m3-n-u5-065,3,math,nanyi,choice,請問 17 度的角是什麼角？,銳角,平角,鈍角,直角,銳角,比 90 度小,1,final
m3-n-u5-066,3,math,nanyi,choice,請問 24 度的角是什麼角？,平角,銳角,直角,鈍角,銳角,比 90 度小,1,final
m3-n-u5-067,3,math,nanyi,choice,長方形的邊長有什麼特色？,四條邊都不一樣長,只有三條邊一樣長,對邊一樣長,四條邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-068,3,math,nanyi,choice,長方形有幾個直角？,2個,0個,4個,3個,4個,每個角落都是直角,1,final
m3-n-u5-069,3,math,nanyi,choice,請問 鈍角 和 銳角 誰比較大？,鈍角,一樣大,無法比較,銳角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-070,3,math,nanyi,choice,正方形有幾個直角？,4個,0個,2個,3個,4個,每個角落都是直角,1,final
m3-n-u5-071,3,math,nanyi,choice,正方形的邊長有什麼特色？,對邊一樣長,只有兩條邊一樣長,四條邊一樣長,四條邊都不一樣長,四條邊一樣長,正方形很特別，每邊都相等,1,final
m3-n-u5-072,3,math,nanyi,choice,長方形的邊長有什麼特色？,只有三條邊一樣長,四條邊都不一樣長,對邊一樣長,四條邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-073,3,math,nanyi,choice,請問 71 度的角是什麼角？,平角,銳角,鈍角,直角,銳角,比 90 度小,1,final
m3-n-u5-074,3,math,nanyi,choice,請問 157 度的角是什麼角？,直角,鈍角,平角,銳角,鈍角,比 90 度大,1,final
m3-n-u5-075,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,直角,一樣大,鈍角,無法比較,鈍角,想想看它們的角度度數,1,final
m3-n-u5-076,3,math,nanyi,choice,長方形有幾個直角？,0個,4個,2個,3個,4個,每個角落都是直角,1,final
m3-n-u5-077,3,math,nanyi,choice,請問 直角 和 銳角 誰比較大？,無法比較,銳角,一樣大,直角,直角,想想看它們的角度度數,1,final
m3-n-u5-078,3,math,nanyi,choice,請問 65 度的角是什麼角？,鈍角,直角,銳角,平角,銳角,比 90 度小,1,final
m3-n-u5-079,3,math,nanyi,choice,請問 直角 和 銳角 誰比較大？,無法比較,銳角,直角,一樣大,直角,想想看它們的角度度數,1,final
m3-n-u5-080,3,math,nanyi,choice,請問 90 度的角是什麼角？,直角,平角,銳角,鈍角,直角,三角板上有一個這樣的角,1,final
m3-n-u5-081,3,math,nanyi,choice,請問 直角 和 銳角 誰比較大？,直角,無法比較,銳角,一樣大,直角,想想看它們的角度度數,1,final
m3-n-u5-082,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,一樣大,鈍角,無法比較,直角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-083,3,math,nanyi,choice,正方形有幾個直角？,0個,3個,4個,2個,4個,每個角落都是直角,1,final
m3-n-u5-084,3,math,nanyi,choice,請問 92 度的角是什麼角？,平角,鈍角,直角,銳角,鈍角,比 90 度大,1,final
m3-n-u5-085,3,math,nanyi,choice,長方形的邊長有什麼特色？,只有三條邊一樣長,四條邊一樣長,四條邊都不一樣長,對邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-086,3,math,nanyi,choice,請問 鈍角 和 銳角 誰比較大？,無法比較,一樣大,鈍角,銳角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-087,3,math,nanyi,choice,請問 鈍角 和 直角 誰比較大？,直角,無法比較,一樣大,鈍角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-088,3,math,nanyi,choice,請問 51 度的角是什麼角？,鈍角,銳角,平角,直角,銳角,比 90 度小,1,final
m3-n-u5-089,3,math,nanyi,choice,請問 79 度的角是什麼角？,鈍角,直角,平角,銳角,銳角,比 90 度小,1,final
m3-n-u5-090,3,math,nanyi,choice,請問 20 度的角是什麼角？,平角,直角,銳角,鈍角,銳角,比 90 度小,1,final
m3-n-u5-091,3,math,nanyi,choice,正方形的邊長有什麼特色？,對邊一樣長,四條邊一樣長,四條邊都不一樣長,只有兩條邊一樣長,四條邊一樣長,正方形很特別，每邊都相等,1,final
m3-n-u5-092,3,math,nanyi,choice,請問 102 度的角是什麼角？,直角,銳角,平角,鈍角,鈍角,比 90 度大,1,final
m3-n-u5-093,3,math,nanyi,choice,請問 110 度的角是什麼角？,鈍角,直角,平角,銳角,鈍角,比 90 度大,1,final
m3-n-u5-094,3,math,nanyi,choice,請問 直角 和 銳角 誰比較大？,直角,一樣大,無法比較,銳角,直角,想想看它們的角度度數,1,final
m3-n-u5-095,3,math,nanyi,choice,長方形有幾個直角？,4個,2個,0個,3個,4個,每個角落都是直角,1,final
m3-n-u5-096,3,math,nanyi,choice,長方形有幾個直角？,0個,3個,2個,4個,4個,每個角落都是直角,1,final
m3-n-u5-097,3,math,nanyi,choice,長方形的邊長有什麼特色？,四條邊都不一樣長,四條邊一樣長,只有三條邊一樣長,對邊一樣長,對邊一樣長,長方形兩兩相對的邊相等,1,final
m3-n-u5-098,3,math,nanyi,choice,請問 鈍角 和 銳角 誰比較大？,一樣大,無法比較,銳角,鈍角,鈍角,想想看它們的角度度數,1,final
m3-n-u5-099,3,math,nanyi,choice,請問 直角 和 銳角 誰比較大？,銳角,一樣大,無法比較,直角,直角,想想看它們的角度度數,1,final
m3-n-u5-100,3,math,nanyi,choice,請問 直角 和 銳角 誰比較大？,銳角,無法比較,一樣大,直角,直角,想想看它們的角度度數,1,final
m3-n-u6-001,3,math,nanyi,choice,22 ÷ 3 = ?,7 ... 2,8 ... 1,7 ... 1,6 ... 1,7 ... 1,先用乘法想: 3 乘以多少最接近 22?,1,final
m3-n-u6-002,3,math,nanyi,choice,39 ÷ 4 = ?,10 ... 3,8 ... 3,9 ... 3,10 ... 3,9 ... 3,先用乘法想: 4 乘以多少最接近 39?,1,final
m3-n-u6-003,3,math,nanyi,choice,16 ÷ 2 = ?,9,8 ... 1,8,7,8,先用乘法想: 2 乘以多少最接近 16?,1,final
m3-n-u6-004,3,math,nanyi,choice,17 ÷ 3 = ?,6 ... 2,4 ... 2,5 ... 2,6 ... 2,5 ... 2,先用乘法想: 3 乘以多少最接近 17?,1,final
m3-n-u6-005,3,math,nanyi,choice,22 ÷ 9 = ?,2 ... 4,2 ... 5,3 ... 4,1 ... 4,2 ... 4,先用乘法想: 9 乘以多少最接近 22?,1,final
m3-n-u6-006,3,math,nanyi,choice,54 ÷ 6 = ?,8,10,9 ... 1,9,9,先用乘法想: 6 乘以多少最接近 54?,1,final
m3-n-u6-007,3,math,nanyi,choice,49 ÷ 8 = ?,6 ... 1,7 ... 1,5 ... 1,6 ... 2,6 ... 1,先用乘法想: 8 乘以多少最接近 49?,1,final
m3-n-u6-008,3,math,nanyi,choice,14 ÷ 3 = ?,3 ... 2,4 ... 2,5 ... 2,5 ... 2,4 ... 2,先用乘法想: 3 乘以多少最接近 14?,1,final
m3-n-u6-009,3,math,nanyi,choice,23 ÷ 4 = ?,6 ... 3,6 ... 3,5 ... 3,4 ... 3,5 ... 3,先用乘法想: 4 乘以多少最接近 23?,1,final
m3-n-u6-010,3,math,nanyi,choice,38 ÷ 4 = ?,9 ... 3,9 ... 2,8 ... 2,10 ... 2,9 ... 2,先用乘法想: 4 乘以多少最接近 38?,1,final
m3-n-u6-011,3,math,nanyi,choice,55 ÷ 6 = ?,9 ... 2,9 ... 1,10 ... 1,8 ... 1,9 ... 1,先用乘法想: 6 乘以多少最接近 55?,1,final
m3-n-u6-012,3,math,nanyi,choice,87 ÷ 8 = ?,10 ... 7,9 ... 7,11 ... 7,11 ... 7,10 ... 7,先用乘法想: 8 乘以多少最接近 87?,1,final
m3-n-u6-013,3,math,nanyi,choice,43 ÷ 8 = ?,5 ... 4,5 ... 3,4 ... 3,6 ... 3,5 ... 3,先用乘法想: 8 乘以多少最接近 43?,1,final
m3-n-u6-014,3,math,nanyi,choice,25 ÷ 8 = ?,2 ... 1,3 ... 2,4 ... 1,3 ... 1,3 ... 1,先用乘法想: 8 乘以多少最接近 25?,1,final
m3-n-u6-015,3,math,nanyi,choice,32 ÷ 3 = ?,10 ... 2,11 ... 2,11 ... 2,9 ... 2,10 ... 2,先用乘法想: 3 乘以多少最接近 32?,1,final
m3-n-u6-016,3,math,nanyi,choice,53 ÷ 7 = ?,7 ... 5,8 ... 4,7 ... 4,6 ... 4,7 ... 4,先用乘法想: 7 乘以多少最接近 53?,1,final
m3-n-u6-017,3,math,nanyi,choice,30 ÷ 5 = ?,7,5,6 ... 1,6,6,先用乘法想: 5 乘以多少最接近 30?,1,final
m3-n-u6-018,3,math,nanyi,choice,13 ÷ 4 = ?,3 ... 2,2 ... 1,3 ... 1,4 ... 1,3 ... 1,先用乘法想: 4 乘以多少最接近 13?,1,final
m3-n-u6-019,3,math,nanyi,choice,62 ÷ 9 = ?,5 ... 8,7 ... 8,7 ... 8,6 ... 8,6 ... 8,先用乘法想: 9 乘以多少最接近 62?,1,final
m3-n-u6-020,3,math,nanyi,choice,52 ÷ 9 = ?,5 ... 7,6 ... 7,5 ... 8,4 ... 7,5 ... 7,先用乘法想: 9 乘以多少最接近 52?,1,final
m3-n-u6-021,3,math,nanyi,choice,26 ÷ 4 = ?,6 ... 3,5 ... 2,6 ... 2,7 ... 2,6 ... 2,先用乘法想: 4 乘以多少最接近 26?,1,final
m3-n-u6-022,3,math,nanyi,choice,17 ÷ 7 = ?,1 ... 3,2 ... 4,2 ... 3,3 ... 3,2 ... 3,先用乘法想: 7 乘以多少最接近 17?,1,final
m3-n-u6-023,3,math,nanyi,choice,55 ÷ 7 = ?,6 ... 6,8 ... 6,7 ... 6,8 ... 6,7 ... 6,先用乘法想: 7 乘以多少最接近 55?,1,final
m3-n-u6-024,3,math,nanyi,choice,24 ÷ 4 = ?,5,7,6,6 ... 1,6,先用乘法想: 4 乘以多少最接近 24?,1,final
m3-n-u6-025,3,math,nanyi,choice,25 ÷ 5 = ?,5,6,5 ... 1,4,5,先用乘法想: 5 乘以多少最接近 25?,1,final
m3-n-u6-026,3,math,nanyi,choice,24 ÷ 5 = ?,4 ... 4,5 ... 4,5 ... 4,3 ... 4,4 ... 4,先用乘法想: 5 乘以多少最接近 24?,1,final
m3-n-u6-027,3,math,nanyi,choice,45 ÷ 6 = ?,7 ... 4,7 ... 3,6 ... 3,8 ... 3,7 ... 3,先用乘法想: 6 乘以多少最接近 45?,1,final
m3-n-u6-028,3,math,nanyi,choice,13 ÷ 3 = ?,3 ... 1,4 ... 2,4 ... 1,5 ... 1,4 ... 1,先用乘法想: 3 乘以多少最接近 13?,1,final
m3-n-u6-029,3,math,nanyi,choice,9 ÷ 2 = ?,4 ... 1,5 ... 1,5 ... 1,3 ... 1,4 ... 1,先用乘法想: 2 乘以多少最接近 9?,1,final
m3-n-u6-030,3,math,nanyi,choice,71 ÷ 7 = ?,9 ... 1,10 ... 2,11 ... 1,10 ... 1,10 ... 1,先用乘法想: 7 乘以多少最接近 71?,1,final
m3-n-u6-031,3,math,nanyi,choice,76 ÷ 7 = ?,10 ... 6,11 ... 6,9 ... 6,11 ... 6,10 ... 6,先用乘法想: 7 乘以多少最接近 76?,1,final
m3-n-u6-032,3,math,nanyi,choice,93 ÷ 9 = ?,9 ... 3,10 ... 3,11 ... 3,10 ... 4,10 ... 3,先用乘法想: 9 乘以多少最接近 93?,1,final
m3-n-u6-033,3,math,nanyi,choice,18 ÷ 3 = ?,6,7,6 ... 1,5,6,先用乘法想: 3 乘以多少最接近 18?,1,final
m3-n-u6-034,3,math,nanyi,choice,63 ÷ 8 = ?,7 ... 7,8 ... 7,6 ... 7,8 ... 7,7 ... 7,先用乘法想: 8 乘以多少最接近 63?,1,final
m3-n-u6-035,3,math,nanyi,choice,52 ÷ 9 = ?,4 ... 7,6 ... 7,5 ... 7,5 ... 8,5 ... 7,先用乘法想: 9 乘以多少最接近 52?,1,final
